sederhanalahuntung,sederhanalah untung
siapiya,siap ya
yapulau,ya pulau
lautdan,laut dan
gegirisiapa,gara gara siapa
waktukwjwkw,waktu
teradi,terjadi
tehnologinya,teknologinya
allahingat,allah ingat
sayadia,saya dia
ustat,ustad
bmkgentah,bmkg entah
baesar,besar
terbuktiaceh,terbukti aceh
iru,itu
terjadiallah,terjadi allah
huakbargimana,huakbar gimana
selmtkanlh,selamatkanlah
nanusia,manusia
yerjadi,terjadi
tuaitu,tua itu
bmkgwaktu,bmkg waktu
hoakknpa,hoak kenapa
iniapa,ini apa
mlysia,malaysia
mnayg,mana yang
pntas,pantas
hadistkita,hadis kita
bmkgkita,bmkg kita
petunjukpertolongan,petunjuk pertolongan
jiwaraganyawasetidak,jiwa raga nyawa setidak
tsbatau,tersebut atau
nyaaamiin,amin
besarwkwkwk,besar
lagimengharap,lagi mengharap
inginkansesungguhnya,ingkan sesungguhnya
allahmanusia,allah manusia
apatahun,apa tahun
ketauhui,ketahui
musibahnyakita,musibahnya kita
wajibkaya,wajib kaya
ramairamai,ramai ramai
iknsmg,ikn semoga
allag,allah
yrauntuk,untuk
kiloingempa,koloin gempa
ajadalam,aja dalam
syariatmengingat,syariat mengingat
namabumi,nama bumi
ush,usaha
benarpejabat,benar pejabat
megatronterus,megatron terus
cemasitu,cemas itu
ituteknologi,itu teknologi
ongkosnyatuhan,ongkosnya tuhan
turunkn,turunkan
swatu,sewaktu
alasansemoga,alasan semoga
bncanagempa,bencana gempa
okgempa,ok gempa
gantix,ganti
pendudukkalau,penduduk kalau
boshoax,bohong
bumipake,bumi pakai
begokendalanya,bodoh kendalanya
foua,foya
indonesiabanyak,indonesia banyak
ajakalaupun,saja kalaupun
bumicuma,bumi Cuma
menentukanjangan,menentukan jangan
taku,takut
lewatnya,lewatnya
adakenapa,ada kenapa
kankenapa,kan kenapa
lagiituallahuakbar,lagi itu allahuakbar
terjadimeramal,terjadi meramal
nganggkat,ngangkat
jokowihoak,jokowi bohong
sbb,sebab
pdh,padahal
percayabmkg,percaya bmkg
beaarkan,benarkan
ajaada,aja ada
dampat,dampak
jenapa,kenapa
iknitu,ikan itu
kalimantanwalah,kalimantan walah
sayah,saya
ilanghanya,hilang hanya
tahupersiapan,tahu persiapan
bohonginbngun,bohongin bangun
msrakt,masyarakat
kibulincoba,kibulin coba
knkan,kan kan
iknskrang,ikn sekarang
iknklo,ikn kalau
pindahbegitulahitu,pindah begitulah itu
bertobatyaa,bertobat ya
dwiseharusnya,waktu kemana
dongmana,rakyat terbentur
biayayg,biaya  yang
trilyunan,triliunan
bisaamangempa,biasa sama gempa
stressemoga,stress semoga
sihmboleh,sih boleh
sotoyya,sok tau
muhammadbmkg,muhammad bmkg
iknyaa,iknnya
pertolonganyaa,pertolingannya
bencanaklo,bencana kalau
kuasaapa,kuasa apa
buatmakanya,buat makanya
peringatandari,peringatan dari
koropsinya,korupsinya
kencengrupanya,kencang ternyata
doangapalagi,doang apalagi
rakyatpajak,rakyat pajak
terlantarmaka,terlantar maka
mausia,manusia
koropsimu,korupsimu
hartamubagaimana,hartamu bagaimana
jawabya,jawabnya
begohoakwallo,bodoh bohong
bersamasemoga,bersama semoga
bmkgni,bmkg ini
gaduhdari,gaduh dari
ktauan,ketahuan
terjadisaya,terjadi saya
indonesiakiamatpun,indonesia kiamatpun
megatros,megathrust
politiksemoga,politik semoga
tenhgelamkan,tenggelamkan
amiiiinawalny,amin awalnya
sajakalau,saja kalau
ouasaya,saya
dimanapuncara,dimanapun cara
rakyatada,rakyat ada
swtkita,swt kita
semuanyaklo,semuanya kalau
prhatikan,perhatikan
bkal,bakal
kseopanan,kesopanan
tmbah,tambah
krminal,kriminal
ckup,cukup
bmnunjukan,menunjukan
tkut,takut
jman,zaman
sngat,sangat
jdikan,jadikan
jmn,jaman
kemyataan,kenyataan
andaminta,anda minta
hihibiar,hihi biar
sedikitaku,sedikit takut
bmkgdi,bmkg di
amerikamana,amerika kemana
stapi,tapi
basihanya,basihanya
taalabencana,bencana
allahhuakbarhoax,allahhuakbar bohong
terusril,terus
jugadandipripsi,juga dan dipripsi
akanterjdinyaini,akan terjadinya ini
sihapa,siapa
dianegara,dinegara
berhatidaripad,berhati dari pada
gempakami,gempa kami
aamiindahulu,amin dahulu
huakbarjuga,huakbar juga
huakbartolong,huakbar tolong
selaluitu,selalu itu
janganayo,jangan ayo
iknempreetsemoga,ink pret semoga
gempaindonesia,gempa indonesia
tsmbang,tambang
rawn,rawan
gempinilah,gempa inilah
menghendakitahayul,mengehendaki tahayul
pidah,pindah
udahbertobatlah,sudah bertobatlah
kelangitbisa,kelangit bisa
kalimantankenapa,kalimantan kenapa
yd,ya sudah
ybiar,ya biar
selamatsoal,selamat soal
berhargaok,berharga
tugass,tugas
terbuktiitu,terbukti itu
musibahaamiin,musibah amin
amanhmmmmmmsampai,aman sampai
perahukapal,perahu kapal
kemungkinanlu,kemungkinan kamu
bgobgo,bodoh
peresiden,presiden
aaminini,amin
sihmudah,sih mudah
mudahanikn,mudahan ikn
aminhhhhhhhaaaaaaaaaaahae,amin
waspalah,waspadalah
tegoran,teguran
auloh,allah
huakbarjanganlah,huakbar janganlah
ditakuttakuti,ditakut takuti
menyesatkanjusteru,menyesatkan justru
diarahkandigiring,diarahkan digiring
kosongharus,kosong harus
mempertebal,mempertebal
keyakinanamal,keyakinan amal
duniaakhiratbisa,dunia akhirat bisa
jadisinyalemen,jadi isinya lemen
tenggelamcepat,tenggelam cepat
bmky,bmkg
mengetahuihanya,mengetahui hanya
padanyagara,pada nyagara
itupasti,itu pasti
bencanasubhanallohallah,bencana subhanalloh allah
berkehendaksemoga,berkehendak semoga
kmmi,kami
mncegah,mencegah
projects,proyek
money,uang
andaini,anda ini
pinokiogempa,pinokio gempa
istanapenelitian,istana penelitian
pengamstan,pengamatan
mngmcam,mengancam
pemerentah,pemerintah
dinimanusiia,dini manusia
mistery,misteri
illahi,ilahi
tahuterimakasih,tahu terima kasih
infonyaalloh,infonya allah
andatidak,anda tidak
gempsemuanya,gempa semuanya
cukperbanyak,cukup banyak
akhbarya,kabarnya
alamdulu,alam dulu
glombang,gelombang
sampa,sampai
